Results Table 1,,,,,,,
,Digital Strain 1 gauge length,Maximum Force,Specimen note 1,Rate 1,Digital Strain 1 at Break (Automatic force drop),Specimen note 2,Specimen note 3
,(mm),(N),,(mm/min),(%),,
1,9.59,3196.2251,,50,2.01,,
2,9.75,3051.6743,,50,3.1,,
3,10.11,2886.5696,,50,0.25,,
4,9.67,2991.3896,,50,2.52,,
,,,,,,,
Results Table 2,,,,,,,
,,,,,,,
,,,,,,,
1,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,0,0.0029,-0.7041,-0.0014,-0.0243,-0.0001,0.0028
,0.02,0.0032,0.5045,-0.001,0.0174,-0.0001,0.003
,0.04,0.0082,25.6634,-0.0003,0.8849,0,0.0071
,0.06,0.0219,95.1093,0.0019,3.2796,0.0002,0.0183
,0.077,0.037,170.5345,0.0255,5.8805,0.0024,0.0308
,0.095,0.0529,248.6183,0.0738,8.573,0.0071,0.0441
,0.114,0.069,325.6427,0.1211,11.2291,0.0116,0.0575
,0.134,0.0855,402.4945,0.1625,13.8791,0.0156,0.0713
,0.154,0.1018,472.6271,0.1969,16.2975,0.0189,0.0852
,0.174,0.1183,541.12,0.2257,18.6593,0.0216,0.0993
,0.194,0.1347,609.4721,0.2528,21.0163,0.0242,0.1133
,0.214,0.1512,678.791,0.2799,23.4066,0.0268,0.1273
,0.234,0.1677,748.5659,0.3078,25.8126,0.0295,0.1414
,0.254,0.1843,817.5043,0.3381,28.1898,0.0324,0.1555
,0.274,0.2008,885.5905,0.3678,30.5376,0.0353,0.1696
,0.294,0.2174,952.5794,0.3976,32.8476,0.0381,0.1837
,0.314,0.2338,1018.708,0.4267,35.1279,0.0409,0.1978
,0.334,0.2504,1084.5043,0.4547,37.3967,0.0436,0.212
,0.354,0.2671,1149.5027,0.4801,39.638,0.046,0.2263
,0.374,0.2837,1213.3961,0.5071,41.8412,0.0486,0.2405
,0.394,0.3002,1275.9055,0.5373,43.9967,0.0515,0.2547
,0.414,0.3167,1337.3572,0.5677,46.1158,0.0544,0.2689
,0.434,0.3334,1398.2869,0.5973,48.2168,0.0573,0.2832
,0.454,0.35,1458.1238,0.6263,50.2801,0.0601,0.2976
,0.474,0.3667,1516.896,0.6537,52.3068,0.0627,0.3119
,0.494,0.3833,1574.4972,0.6831,54.293,0.0655,0.3263
,0.514,0.3999,1630.9332,0.7124,56.2391,0.0683,0.3407
,0.534,0.4165,1686.8042,0.7391,58.1657,0.0709,0.3551
,0.554,0.4332,1741.7339,0.7646,60.0598,0.0733,0.3696
,0.574,0.4499,1795.7469,0.791,61.9223,0.0759,0.3841
,0.594,0.4665,1848.4363,0.8186,63.7392,0.0785,0.3986
,0.614,0.4831,1899.8169,0.8482,65.5109,0.0813,0.413
,0.634,0.4998,1950.79,0.8778,67.2686,0.0842,0.4276
,0.654,0.5165,2001.0665,0.9098,69.0023,0.0872,0.4423
,0.674,0.5332,2050.2634,0.9404,70.6987,0.0902,0.4569
,0.694,0.5499,2098.3682,0.9704,72.3575,0.0931,0.4715
,0.714,0.5665,2145.5076,0.9997,73.983,0.0959,0.4861
,0.734,0.5832,2192.1062,1.0301,75.5899,0.0988,0.5008
,0.754,0.5998,2237.7993,1.0614,77.1655,0.1018,0.5156
,0.774,0.6165,2282.3889,1.0934,78.7031,0.1049,0.5304
,0.794,0.6332,2326.0991,1.1261,80.2103,0.108,0.5451
,0.814,0.6497,2368.7415,1.1572,81.6807,0.111,0.5599
,0.834,0.6664,2410.7346,1.1891,83.1288,0.114,0.5747
,0.854,0.6831,2452.2009,1.2231,84.5587,0.1173,0.5896
,0.874,0.6998,2492.9722,1.2586,85.9646,0.1207,0.6045
,0.894,0.7165,2532.7737,1.2928,87.337,0.124,0.6194
,0.914,0.7331,2571.3,1.3243,88.6655,0.127,0.6343
,0.934,0.7497,2609.3054,1.3527,89.9761,0.1297,0.6493
,0.954,0.7664,2646.9004,1.3813,91.2724,0.1325,0.6643
,0.974,0.7831,2683.4253,1.4127,92.5319,0.1355,0.6794
,0.994,0.7998,2718.9885,1.447,93.7582,0.1388,0.6945
,1.014,0.8164,2753.519,1.4819,94.9489,0.1421,0.7095
,1.034,0.8331,2787.4451,1.5144,96.1188,0.1452,0.7246
,1.054,0.8497,2820.5764,1.5466,97.2613,0.1483,0.7397
,1.074,0.8664,2852.8171,1.582,98.373,0.1517,0.7549
,1.094,0.8831,2884.4199,1.6176,99.4628,0.1551,0.7701
,1.114,0.8997,2914.8762,1.6557,100.513,0.1588,0.7853
,1.134,0.9164,2944.3083,1.6969,101.5279,0.1627,0.8005
,1.154,0.933,2973.0518,1.7367,102.519,0.1665,0.8158
,1.174,0.9497,3000.9846,1.7749,103.4822,0.1702,0.8312
,1.194,0.9664,3027.7983,1.8151,104.4068,0.1741,0.8466
,1.214,0.983,3053.3525,1.8554,105.288,0.1779,0.8619
,1.234,0.9997,3078.0364,1.8961,106.1392,0.1818,0.8774
,1.254,1.0164,3101.8813,1.941,106.9614,0.1861,0.8929
,1.274,1.0331,3124.4094,1.996,107.7383,0.1914,0.9085
,1.294,1.0498,3145.6973,2.0458,108.4723,0.1962,0.9241
,1.314,1.0664,3165.1135,2.0889,109.1418,0.2003,0.9398
,1.334,1.0831,3182.4072,2.1314,109.7382,0.2044,0.9556
,1.354,1.0998,3196.2251,2.1771,110.2147,0.2088,0.9716
,1.369,1.1123,3116.822,2.2208,107.4766,0.213,0.9881
,1.371,1.114,3020.6052,2.2268,104.1588,0.2135,0.9945
,1.373,1.1156,2895.217,2.2265,99.8351,0.2135,1.0021
,1.375,1.1173,2748.189,2.2116,94.7651,0.2121,1.0106
,1.376,1.1182,2668.3633,2.1969,92.0125,0.2107,1.0151
,1.377,1.119,2585.2617,2.1772,89.147,0.2088,1.0197
,1.378,1.1199,2499.4023,2.1522,86.1863,0.2064,1.0243
,1.379,1.1207,2411.3303,2.1223,83.1493,0.2035,1.029
,1.38,1.1216,2321.582,2.0876,80.0546,0.2002,1.0337
,1.381,1.1224,2230.6191,2.0484,76.9179,0.1964,1.0385
,1.382,1.1233,2138.9297,2.0051,73.7562,0.1923,1.0433
,1.383,1.1242,2046.9053,1.9581,70.5829,0.1878,1.048
,1.384,1.1251,1954.8918,1.9077,67.4101,0.183,1.0527
